"annotation_id","annotator","comment","created_at","id","lead_time","rating","taxonomy","updated_at","Вопрос решен","Нравится качество выполнения заявки","Нравится качество работы сотрудников","Нравится скорость отработки заявок","Понравилось выполнение заявки"
2374,"1","спасибо","2025-05-17T09:23:28.536565Z",2945792,18.878,5,"[{""taxonomy"":[[""Вопрос решен""],[""Понравилось выполнение заявки""]]}]","2025-05-17T09:23:28.536565Z","","","","",""
2375,"1","спасибо!","2025-05-17T09:23:38.456762Z",3234340,7.941,5,"[{""taxonomy"":[[""Вопрос решен""],[""Понравилось выполнение заявки""]]}]","2025-05-17T09:23:38.456762Z","","","","",""
2376,"1","Отлично ","2025-05-17T09:24:11.486229Z",3380332,31.554,5,"[{""taxonomy"":[[""Вопрос решен""],[""Понравилось выполнение заявки""]]}]","2025-05-17T09:24:11.486229Z","","","","",""
2377,"1","Благодарю за оперативное решение проблемы ! ","2025-05-17T09:24:29.076846Z",3381812,15.591,5,"[{""taxonomy"":[[""Вопрос решен""],[""Понравилось выполнение заявки""],[""Нравится скорость отработки заявок""]]}]","2025-05-17T09:24:29.076846Z","","","","",""
2378,"1","Прекрасный специалист! Побольше таких","2025-05-17T09:24:42.946396Z",3461991,12.202,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-17T09:24:42.946396Z","","","","",""
2379,"1","Спасибо ","2025-05-17T09:38:18.066748Z",3551430,812.141,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""],[""Вопрос решен""]]}]","2025-05-17T09:38:18.066748Z","","","","",""
2380,"1","пересчет, и скорость 
","2025-05-17T09:38:41.849684Z",3572768,17.083,1,"[{""taxonomy"":[[""Жалобы и вопросы""]]}]","2025-05-17T09:38:41.849684Z","","","","",""
2381,"1","Спасибо за обновление покраски стен","2025-05-17T09:39:19.257465Z",3584536,19.064,5,"[{""taxonomy"":[[""Вопрос решен""],[""Понравилось выполнение заявки""]]}]","2025-05-17T09:39:19.257465Z","","","","",""
2382,"1","выполнили быстро","2025-05-17T09:39:35.599806Z",3596020,15.347,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится скорость отработки заявок""]]}]","2025-05-17T09:39:35.599806Z","","","","",""
2383,"1","Спасибо! ","2025-05-17T09:39:40.653122Z",3617808,3.987,5,"[{""taxonomy"":[[""Вопрос решен""],[""Понравилось выполнение заявки""]]}]","2025-05-17T09:39:40.653122Z","","","","",""
2384,"1","спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ","2025-05-17T09:39:58.093541Z",3627490,16.355,5,"[{""taxonomy"":[[""Вопрос решен""],[""Понравилось выполнение заявки""],[""Нравится скорость отработки заявок""],[""Нравится качество работы сотрудников""]]}]","2025-05-17T09:39:58.093541Z","","","","",""
2385,"1","спасибо 
","2025-05-17T09:40:02.878147Z",3657819,3.88,5,"[{""taxonomy"":[[""Вопрос решен""],[""Понравилось выполнение заявки""]]}]","2025-05-17T09:40:02.878147Z","","","","",""
